event_id;date;publisher;ticker;studio;is_rockstar;game;franchise;event_type;sentiment;impact_expectation_manual;source_url;notes
TTWO_2022_GTA_PLUS_SUBSCRIPTION;29.03.22;Take-Two;TTWO;Rockstar Games;1;GTA Online;GTA;Major Announcement;Neutral;Medium;https://www.rockstargames.com/newswire/article/80479;Introduction of GTA+ subscription service for GTA Online players.
UBI_2023_AC_MIRAGE_ANNOUNCEMENT;10.09.22;Ubisoft;UBI;Ubisoft Bordeaux;0;Assassin's Creed Mirage;Assassin's Creed;Trailer/Reveal;Positive;Medium;https://news.ubisoft.com/;Reveal of Assassin's Creed Mirage as a more classic AC-style entry.
GTA6_2022_LEAK;18.09.22;Take-Two;TTWO;Rockstar;1;GTA VI;GTA;Leak;negative;high;https://www.nytimes.com/2022/09/18/technology/gta-6-leak.html;Massive gameplay leak (90 videos)
UBI_2022_SKULL_AND_BONES_DELAY;28.09.22;Ubisoft;UBI;Ubisoft Singapore;0;Skull and Bones;Skull and Bones;Delay;Negative;Medium;https://news.ubisoft.com/;Further delay of Skull and Bones after multiple postponements.
EA_2022_FIFA23_RELEASE;30.09.22;EA;EA;EA Sports;0;FIFA 23;FIFA;Release;Positive;Medium;https://www.ea.com/games/fifa/fifa-23;Annual FIFA release with strong sales forecast.
NTDOY_2022_POKEMON_SV_RELEASE;18.11.22;Nintendo;NTDOY;Game Freak;0;Pokémon Scarlet and Violet;Pokémon;Release;Positive;Medium;https://www.nintendo.com/;Launch of Pokémon Scarlet/Violet with strong sales but technical criticisms.
NTDOY_2023_ZELDA_TOTK_RELEASE;12.05.23;Nintendo;NTDOY;Nintendo;0;The Legend of Zelda: Tears of the Kingdom;Zelda;Release;positive;high;https://www.nintendo.com;TOTK launch success
UBI_EARN_FY2023;16.05.23;Ubisoft;UBI;Earnings;0;;;Earnings;;;https://www.ubisoft.com/en-us/company/investors/earnings;Full-Year 2022–2023 Results
ATVI_EARN_2023Q3;04.10.23;Activision Blizzard;ATVI;Earnings;0;;;Earnings;;;https://investor.activisionblizzard.com/news-releases/news-release-details/activision-blizzard-announces-third-quarter-2023-financial;Q3 2023 Earnings
UBI_2023_ASSASSINSMIRAGE_RELEASE;05.10.23;Ubisoft;UBI;Ubisoft Montreal;0;Assassin's Creed Mirage;Assassin's Creed;Release;positive;medium;https://www.ubisoft.com;Mirage launch reception
UBI_EARN_H1_2024;07.11.23;Ubisoft;UBI;Earnings;0;;;Earnings;;;https://www.ubisoft.com/en-us/company/investors/earnings;H1 2023–2024 Results
NTDOY_EARN_2023Q2;07.11.23;Nintendo;NTDOY;Earnings;0;;;Earnings;;;https://www.nintendo.co.jp/ir/en/;Q2 FY2023 Earnings Release
TTWO_2023_GTA6_TRAILER1;05.12.23;Take-Two;TTWO;Rockstar Games;1;GTA VI;GTA;Trailer/Reveal;Positive;High;https://www.youtube.com/watch?v=QdBZY2fkU-0;Official GTA VI trailer release generating global hype.
GTA6_2024_KEYART;16.05.24;Take-Two;TTWO;Rockstar;1;GTA VI;GTA;Trailer/Reveal;positive;medium;https://ir.take2games.com;Official screenshots/key art
TTWO_2025_GTA6_DELAY1;02.05.25;Take-Two;TTWO;Rockstar Games;1;GTA VI;GTA;Delay;Negative;High;https://www.youtube.com/watch?v=VQRLujxTm3c;"Announcement of GTA VI release delay; market reaction around -8%."
TTWO_2025_GTA6_TRAILER2;06.05.25;Take-Two;TTWO;Rockstar Games;1;GTA VI;GTA;Trailer/Reveal;Positive;Medium;https://www.rockstargames.com/newswire/article/258aa538o412ok/grand-theft-auto-vi-is-now-coming-may-26-2026#:~:text=Grand%20Theft%20Auto%20VI%20is,quality%20you%20expect%20and%20deserve.;"Released alongside the delay news; cinematic style, introduced protagonists Jason & Lucia."
TTWO_2025_GTA6_DELAY2;06.11.25;Take-Two;TTWO;Rockstar Games;1;GTA VI;GTA;Delay;Negative;High;https://www.rockstargames.com/newswire/article/ak3ak31a49a221/grand-theft-auto-vi-is-now-set-to-launch-november-19-2026#:~:text=Grand%20Theft%20Auto%20VI%20%2D%20Watch,Contact;"Second announcement of GTA VI release delay; makret reaction around -8%"
TTWO_EARN_Q3_2020;06.02.20;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q3 2020 earnings conference call
TTWO_EARN_Q4_2020;20.05.20;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q4 2020 earnings conference call
TTWO_EARN_Q1_2021;03.08.20;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q1 2021 earnings conference call
TTWO_EARN_Q2_2021;05.11.20;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q2 2021 earnings conference call
TTWO_EARN_Q3_2021;08.02.21;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q3 2021 earnings conference call
TTWO_EARN_Q4_2021;18.05.21;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q4 2021 earnings conference call
TTWO_EARN_Q1_2022;02.08.21;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q1 2022 earnings conference call
TTWO_EARN_Q2_2022;03.11.21;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q2 2022 earnings conference call
TTWO_EARN_Q3_2022;07.02.22;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q3 2022 earnings conference call
TTWO_EARN_Q4_2022;16.05.22;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q4 2022 earnings conference call
TTWO_EARN_Q1_2023;08.08.22;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q1 2023 earnings conference call
TTWO_EARN_Q2_2023;07.11.22;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q2 2023 earnings conference call
TTWO_EARN_Q3_2023;06.02.23;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q3 2023 earnings conference call
TTWO_EARN_Q4_2023;17.05.23;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q4 2023 earnings conference call
TTWO_EARN_Q1_2024;08.08.23;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q1 2024 earnings conference call
TTWO_EARN_Q2_2024;08.11.23;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q2 2024 earnings conference call
TTWO_EARN_Q3_2024;08.02.24;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q3 2024 earnings conference call
TTWO_EARN_Q4_2024;16.05.24;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q4 2024 earnings conference call
TTWO_EARN_Q1_2025;08.08.24;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q1 2025 earnings conference call
TTWO_2025_Q3_EARNINGS;07.02.25;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q3 FY2025 Earnings Release
TTWO_2025_Q4_EARNINGS;15.05.25;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q4 FY2025 Earnings / Full-Year FY2025 Results
TTWO_2025_Q1_EARNINGS;08.08.25;Take-Two;TTWO;;1;;;Earnings;;;https://ir.take2games.com;Q1 FY2026 Earnings (released in 2025)
EA_2020_Q1_EARNINGS;05.02.20;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q3 FY2020 Earnings
EA_2020_Q2_EARNINGS;05.05.20;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q4 FY2020 Earnings
EA_2020_Q3_EARNINGS;30.07.20;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q1 FY2021 Earnings
EA_2020_Q4_EARNINGS;05.11.20;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q2 FY2021 Earnings
EA_2021_Q1_EARNINGS;02.02.21;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q3 FY2021 Earnings
EA_2021_Q2_EARNINGS;11.05.21;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q4 FY2021 Earnings
EA_2021_Q3_EARNINGS;04.08.21;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q1 FY2022 Earnings
EA_2021_Q4_EARNINGS;03.11.21;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q2 FY2022 Earnings
EA_2022_Q1_EARNINGS;01.02.22;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q3 FY2022 Earnings
EA_2022_Q2_EARNINGS;10.05.22;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q4 FY2022 Earnings
EA_2022_Q3_EARNINGS;02.08.22;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q1 FY2023 Earnings
EA_2022_Q4_EARNINGS;01.11.22;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q2 FY2023 Earnings
EA_2023_Q1_EARNINGS;31.01.23;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q3 FY2023 Earnings
EA_2023_Q2_EARNINGS;09.05.23;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q4 FY2023 Earnings
EA_2023_Q3_EARNINGS;01.08.23;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q1 FY2024 Earnings
EA_2023_Q4_EARNINGS;01.11.23;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q2 FY2024 Earnings
EA_2024_Q1_EARNINGS;30.01.24;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q3 FY2024 Earnings
EA_2024_Q2_EARNINGS;07.05.24;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q4 FY2024 Earnings
EA_2024_Q3_EARNINGS;30.07.24;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q1 FY2025 Earnings
EA_2024_Q4_EARNINGS;01.11.24;Electronic Arts;EA;;0;;;Earnings;;;https://ir.ea.com;Q2 FY2025 Earnings
ATVI_2020_Q1_EARNINGS;04.02.20;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q4 2019 Earnings
ATVI_2020_Q2_EARNINGS;05.05.20;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q1 2020 Earnings
ATVI_2020_Q3_EARNINGS;04.08.20;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q2 2020 Earnings
ATVI_2020_Q4_EARNINGS;29.10.20;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q3 2020 Earnings
ATVI_2021_Q1_EARNINGS;04.02.21;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q4 2020 Earnings
ATVI_2021_Q2_EARNINGS;04.05.21;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q1 2021 Earnings
ATVI_2021_Q3_EARNINGS;03.08.21;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q2 2021 Earnings
ATVI_2021_Q4_EARNINGS;02.11.21;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q3 2021 Earnings
ATVI_2022_Q1_EARNINGS;03.02.22;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q4 2021 Earnings
ATVI_2022_Q2_EARNINGS;25.04.22;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q1 2022 Earnings
ATVI_2022_Q3_EARNINGS;02.08.22;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q2 2022 Earnings
ATVI_2022_Q4_EARNINGS;02.11.22;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q3 2022 Earnings
ATVI_2023_Q1_EARNINGS;06.02.23;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q4 2022 Earnings
ATVI_2023_Q2_EARNINGS;25.04.23;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q1 2023 Earnings
ATVI_2023_Q3_EARNINGS;19.07.23;Activision Blizzard;ATVI;;0;;;Earnings;;;https://investor.activision.com;Q2 2023 Earnings
UBI_2020_Q1_EARNINGS;09.07.20;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;Q1 FY2021 Sales
UBI_2020_Q2_EARNINGS;29.10.20;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;H1 FY2021 Results
UBI_2021_Q1_EARNINGS;11.02.21;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;Q3 FY2021 Sales
UBI_2021_Q2_EARNINGS;18.05.21;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;FY2021 Full-Year Earnings
UBI_2021_Q3_EARNINGS;21.07.21;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;Q1 FY2022 Sales
UBI_2021_Q4_EARNINGS;28.10.21;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;H1 FY2022 Earnings
UBI_2022_Q1_EARNINGS;17.02.22;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;Q3 FY2022 Sales
UBI_2022_Q2_EARNINGS;12.05.22;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;FY2022 Full-Year Earnings
UBI_2022_Q3_EARNINGS;21.07.22;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;Q1 FY2023 Sales
UBI_2022_Q4_EARNINGS;27.10.22;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;H1 FY2023 Earnings
UBI_2023_Q1_EARNINGS;16.02.23;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;Q3 FY2023 Sales
UBI_2023_Q2_EARNINGS;25.05.23;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;FY2023 Full-Year Earnings
UBI_2023_Q3_EARNINGS;20.07.23;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;Q1 FY2024 Sales
UBI_2023_Q4_EARNINGS;26.10.23;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;H1 FY2024 Earnings
UBI_2024_Q1_EARNINGS;08.02.24;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;Q3 FY2024 Sales
UBI_2024_Q2_EARNINGS;16.05.24;Ubisoft;UBI;;0;;;Earnings;;;https://www.ubisoft.com;FY2024 Full-Year Results
NTDOY_2020_Q1_EARNINGS;30.01.20;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q3 FY2020 Earnings
NTDOY_2020_Q2_EARNINGS;07.05.20;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;FY2020 Full-Year Earnings
NTDOY_2020_Q3_EARNINGS;06.08.20;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q1 FY2021 Earnings
NTDOY_2020_Q4_EARNINGS;05.11.20;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q2 FY2021 Earnings
NTDOY_2021_Q1_EARNINGS;01.02.21;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q3 FY2021 Earnings
NTDOY_2021_Q2_EARNINGS;06.05.21;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;FY2021 Full-Year Earnings
NTDOY_2021_Q3_EARNINGS;05.08.21;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q1 FY2022 Earnings
NTDOY_2021_Q4_EARNINGS;04.11.21;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q2 FY2022 Earnings
NTDOY_2022_Q1_EARNINGS;03.02.22;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q3 FY2022 Earnings
NTDOY_2022_Q2_EARNINGS;10.05.22;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;FY2022 Full-Year Earnings
NTDOY_2022_Q3_EARNINGS;03.08.22;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q1 FY2023 Earnings
NTDOY_2022_Q4_EARNINGS;08.11.22;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q2 FY2023 Earnings
NTDOY_2023_Q1_EARNINGS;07.02.23;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q3 FY2023 Earnings
NTDOY_2023_Q2_EARNINGS;09.05.23;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;FY2023 Full-Year Earnings
NTDOY_2023_Q3_EARNINGS;03.08.23;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q1 FY2024 Earnings
NTDOY_2023_Q4_EARNINGS;07.11.23;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q2 FY2024 Earnings
NTDOY_2024_Q1_EARNINGS;06.02.24;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q3 FY2024 Earnings
NTDOY_2024_Q2_EARNINGS;07.05.24;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;FY2024 Full-Year Earnings
NTDOY_2024_Q3_EARNINGS;06.08.24;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q1 FY2025 Earnings
NTDOY_2024_Q4_EARNINGS;05.11.24;Nintendo;NTDOY;;0;;;Earnings;;;https://www.nintendo.co.jp;Q2 FY2025 Earnings
