date,trend_gta,trend_gta6,trend_gtavi,trend_rockstar,trend_gta_mean
2011-08-07,59.25,46.75,34.25,47.0,46.75
2011-08-14,49.25,43.25,40.25,49.5,44.25
2011-08-21,55.25,50.25,45.25,60.5,50.25
2011-08-28,59.75,51.5,40.25,60.75,50.5
2011-09-04,54.75,38.0,32.5,60.25,41.75
2011-09-11,66.0,32.25,36.25,52.25,44.833333333333336
2011-09-18,62.0,27.0,25.25,50.75,38.083333333333336
2011-09-25,53.0,30.0,33.75,43.25,38.916666666666664
2011-10-02,50.5,47.0,37.75,42.25,45.083333333333336
2011-10-09,47.0,40.75,32.75,40.5,40.166666666666664
2011-10-16,46.0,49.0,37.75,37.75,44.25
2011-10-23,47.5,50.25,26.0,42.25,41.25
2011-10-30,49.25,45.5,19.0,39.25,37.916666666666664
2011-11-06,49.5,44.75,21.0,43.25,38.416666666666664
2011-11-13,48.5,45.5,23.75,39.25,39.25
2011-11-20,57.75,48.75,23.0,33.0,43.166666666666664
2011-11-27,61.0,51.25,35.75,39.25,49.333333333333336
2011-12-04,51.0,67.75,34.25,39.5,51.0
2011-12-11,58.5,60.5,31.25,37.5,50.083333333333336
2011-12-18,45.5,58.5,35.75,48.25,46.583333333333336
2011-12-25,55.75,59.0,28.5,43.0,47.75
2012-01-01,63.75,48.75,34.0,46.0,48.833333333333336
2012-01-08,56.5,61.25,35.5,50.0,51.083333333333336
2012-01-15,56.25,60.5,31.0,46.5,49.25
2012-01-22,50.75,62.0,30.25,42.25,47.666666666666664
2012-01-29,51.0,66.0,26.25,35.25,47.75
2012-02-05,58.75,60.75,22.5,33.75,47.333333333333336
2012-02-12,64.5,57.75,25.75,28.0,49.333333333333336
2012-02-19,62.25,53.5,26.75,38.0,47.5
2012-02-26,55.75,48.25,19.5,39.5,41.166666666666664
2012-03-04,52.5,54.75,18.75,42.5,42.0
2012-03-11,49.25,62.25,22.5,45.75,44.666666666666664
2012-03-18,53.0,66.75,22.25,43.75,47.333333333333336
2012-03-25,67.25,66.75,28.0,46.75,54.0
2012-04-01,77.5,52.75,31.25,44.75,53.833333333333336
2012-04-08,74.25,38.0,30.25,43.75,47.5
2012-04-15,62.75,21.5,33.75,40.25,39.333333333333336
2012-04-22,52.75,30.25,39.25,44.25,40.75
2012-04-29,37.5,37.75,36.25,39.75,37.166666666666664
2012-05-06,45.5,50.5,36.75,35.0,44.25
2012-05-13,50.25,53.0,34.0,41.75,45.75
2012-05-20,58.25,51.5,29.25,33.75,46.333333333333336
2012-05-27,61.75,49.5,36.75,35.0,49.333333333333336
2012-06-03,65.0,37.25,43.0,45.25,48.416666666666664
2012-06-10,73.75,38.75,43.0,35.25,51.833333333333336
2012-06-17,70.75,29.5,48.75,41.5,49.666666666666664
2012-06-24,67.75,36.5,43.25,40.5,49.166666666666664
2012-07-01,59.0,37.5,31.0,31.5,42.5
2012-07-08,60.25,36.0,34.25,39.0,43.5
2012-07-15,63.75,47.5,31.75,34.25,47.666666666666664
2012-07-22,79.25,38.75,30.25,33.0,49.416666666666664
2012-07-29,77.5,42.25,38.25,39.5,52.666666666666664
2012-08-05,64.5,44.5,34.25,37.0,47.75
2012-08-12,53.25,42.0,28.5,34.5,41.25
2012-08-19,52.0,36.75,26.0,42.25,38.25
2012-08-26,59.5,41.0,28.25,37.5,42.916666666666664
2012-09-02,69.75,50.75,25.75,39.25,48.75
2012-09-09,71.75,40.5,23.5,36.25,45.25
2012-09-16,62.75,45.0,29.5,35.5,45.75
2012-09-23,66.25,39.5,26.5,39.75,44.083333333333336
2012-09-30,51.75,33.75,35.5,41.75,40.333333333333336
2012-10-07,48.5,45.75,43.25,51.0,45.833333333333336
2012-10-14,49.25,46.0,36.25,48.5,43.833333333333336
2012-10-21,36.25,53.0,30.25,48.5,39.833333333333336
2012-10-28,49.75,60.25,22.75,49.5,44.25
2012-11-04,47.75,52.25,22.75,42.25,40.916666666666664
2012-11-11,52.0,47.25,31.5,38.25,43.583333333333336
2012-11-18,65.75,41.75,38.25,30.5,48.583333333333336
2012-11-25,60.5,42.0,34.0,27.25,45.5
2012-12-02,67.25,43.25,34.25,27.25,48.25
2012-12-09,65.5,57.0,27.5,28.0,50.0
2012-12-16,55.25,61.25,28.5,34.5,48.333333333333336
2012-12-23,52.25,50.75,34.75,34.25,45.916666666666664
2012-12-30,54.0,54.75,29.75,33.25,46.166666666666664
2013-01-06,57.5,54.0,30.0,37.25,47.166666666666664
2013-01-13,60.0,48.0,20.75,32.25,42.916666666666664
2013-01-20,56.25,43.75,18.25,27.0,39.416666666666664
2013-01-27,49.25,44.5,19.25,38.5,37.666666666666664
2013-02-03,50.0,31.25,24.5,36.0,35.25
2013-02-10,56.25,40.75,34.0,40.0,43.666666666666664
2013-02-17,58.0,40.5,33.5,46.5,44.0
2013-02-24,65.75,39.25,32.25,39.75,45.75
2013-03-03,66.75,54.5,27.25,37.5,49.5
2013-03-10,55.25,54.25,22.75,40.0,44.083333333333336
2013-03-17,59.75,60.5,31.75,35.0,50.666666666666664
2013-03-24,64.5,51.25,32.75,35.75,49.5
2013-03-31,51.75,48.0,40.75,43.0,46.833333333333336
2013-04-07,57.0,43.25,35.5,35.25,45.25
2013-04-14,58.5,52.25,25.5,43.25,45.416666666666664
2013-04-21,59.0,61.75,25.25,39.5,48.666666666666664
2013-04-28,64.0,60.25,26.25,40.5,50.166666666666664
2013-05-05,63.25,66.75,38.75,50.75,56.25
2013-05-12,72.75,62.25,42.5,46.5,59.166666666666664
2013-05-19,70.0,66.75,40.0,52.5,58.916666666666664
2013-05-26,69.25,57.0,28.75,53.0,51.666666666666664
2013-06-02,60.25,57.25,25.25,48.75,47.583333333333336
2013-06-09,58.0,61.5,27.0,51.5,48.833333333333336
2013-06-16,59.5,53.25,29.5,48.0,47.416666666666664
2013-06-23,54.25,60.25,31.25,38.75,48.583333333333336
2013-06-30,56.75,47.25,34.75,43.5,46.25
2013-07-07,56.25,45.25,28.25,42.0,43.25
2013-07-14,58.25,44.0,27.75,47.5,43.333333333333336
2013-07-21,62.0,40.75,35.5,59.75,46.083333333333336
2013-07-28,59.75,53.25,28.25,56.75,47.083333333333336
2013-08-04,54.75,53.5,27.25,52.25,45.166666666666664
2013-08-11,41.25,62.0,32.0,53.25,45.083333333333336
2013-08-18,48.25,58.25,26.0,50.25,44.166666666666664
2013-08-25,51.5,58.0,21.0,49.25,43.5
2013-09-01,55.5,58.5,22.0,54.5,45.333333333333336
2013-09-08,70.75,47.5,23.5,43.5,47.25
2013-09-15,60.75,51.5,19.5,40.75,43.916666666666664
2013-09-22,63.5,44.0,19.25,45.0,42.25
2013-09-29,66.25,40.75,28.75,39.0,45.25
2013-10-06,46.75,43.75,24.0,42.75,38.166666666666664
2013-10-13,59.5,44.5,24.25,37.25,42.75
2013-10-20,56.0,49.0,34.75,33.75,46.583333333333336
2013-10-27,54.75,51.5,37.25,35.75,47.833333333333336
2013-11-03,58.75,60.5,40.75,42.25,53.333333333333336
2013-11-10,53.0,67.75,48.25,44.5,56.333333333333336
2013-11-17,50.25,57.25,49.75,40.0,52.416666666666664
2013-11-24,47.75,54.5,42.25,33.75,48.166666666666664
2013-12-01,45.0,42.25,39.5,29.0,42.25
2013-12-08,53.5,28.75,43.25,30.25,41.833333333333336
2013-12-15,70.0,41.25,39.0,33.5,50.083333333333336
2013-12-22,63.0,40.5,43.25,46.5,48.916666666666664
2013-12-29,74.0,37.5,38.25,40.25,49.916666666666664
2014-01-05,70.5,48.0,35.0,42.25,51.166666666666664
2014-01-12,58.5,34.0,28.75,45.5,40.416666666666664
2014-01-19,58.25,35.25,18.75,39.5,37.416666666666664
2014-01-26,54.25,45.75,18.5,53.0,39.5
2014-02-02,43.25,45.25,15.25,52.5,34.583333333333336
2014-02-09,46.5,59.0,22.0,44.75,42.5
2014-02-16,58.75,47.25,22.25,50.25,42.75
2014-02-23,62.5,53.75,23.75,40.0,46.666666666666664
2014-03-02,70.25,50.0,25.75,34.0,48.666666666666664
2014-03-09,77.0,47.25,21.0,43.75,48.416666666666664
2014-03-16,61.75,47.0,24.75,33.5,44.5
2014-03-23,63.0,34.25,29.5,43.0,42.25
2014-03-30,67.0,40.25,28.25,53.5,45.166666666666664
2014-04-06,54.0,36.75,30.25,52.0,40.333333333333336
2014-04-13,63.75,40.75,33.25,54.75,45.916666666666664
2014-04-20,66.5,39.25,30.75,48.75,45.5
2014-04-27,66.75,37.25,25.75,41.5,43.25
2014-05-04,71.0,38.75,24.25,43.75,44.666666666666664
2014-05-11,59.25,41.5,18.75,47.5,39.833333333333336
2014-05-18,44.25,52.25,20.0,43.5,38.833333333333336
2014-05-25,31.25,45.25,28.0,47.75,34.833333333333336
2014-06-01,41.75,37.25,30.5,43.25,36.5
2014-06-08,40.25,31.0,39.0,44.75,36.75
2014-06-15,49.5,22.0,33.75,53.5,35.083333333333336
2014-06-22,59.25,30.0,37.25,50.5,42.166666666666664
2014-06-29,49.25,42.0,41.0,47.0,44.083333333333336
2014-07-06,52.75,57.75,36.75,48.75,49.083333333333336
2014-07-13,44.75,54.25,39.75,42.5,46.25
2014-07-20,40.75,53.5,26.5,47.75,40.25
2014-07-27,48.0,53.75,29.0,46.75,43.583333333333336
2014-08-03,51.5,45.5,25.25,40.75,40.75
2014-08-10,62.0,58.0,31.75,47.25,50.583333333333336
2014-08-17,60.75,58.75,39.0,44.75,52.833333333333336
2014-08-24,52.25,50.0,39.75,51.5,47.333333333333336
2014-08-31,49.75,56.0,38.75,46.75,48.166666666666664
2014-09-07,46.5,57.5,35.25,43.0,46.416666666666664
2014-09-14,44.0,59.5,36.0,37.25,46.5
2014-09-21,43.75,71.0,29.25,37.5,48.0
2014-09-28,43.0,57.75,28.75,43.0,43.166666666666664
2014-10-05,44.75,50.25,27.25,45.0,40.75
2014-10-12,50.75,39.75,28.75,53.25,39.75
2014-10-19,59.0,22.5,23.0,46.0,34.833333333333336
2014-10-26,56.25,23.5,30.75,49.0,36.833333333333336
2014-11-02,63.25,24.25,31.75,50.0,39.75
2014-11-09,70.25,26.5,27.75,45.0,41.5
2014-11-16,72.0,36.75,38.0,45.75,48.916666666666664
2014-11-23,75.0,42.25,34.0,41.0,50.416666666666664
2014-11-30,64.25,34.75,28.75,38.5,42.583333333333336
2014-12-07,61.75,32.25,28.75,37.25,40.916666666666664
2014-12-14,61.5,33.25,27.5,41.75,40.75
2014-12-21,76.0,41.0,29.0,41.25,48.666666666666664
2014-12-28,83.5,44.0,29.25,44.75,52.25
2015-01-04,88.0,50.0,29.0,50.5,55.666666666666664
2015-01-11,76.75,49.25,30.5,44.5,52.166666666666664
2015-01-18,58.75,42.0,32.5,46.0,44.416666666666664
2015-01-25,61.5,47.25,37.5,36.75,48.75
2015-02-01,58.5,53.5,33.5,37.75,48.5
2015-02-08,67.75,56.75,33.25,43.25,52.583333333333336
2015-02-15,69.0,63.5,35.75,47.25,56.083333333333336
2015-02-22,68.5,56.25,40.75,53.0,55.166666666666664
2015-03-01,62.5,42.5,39.25,51.75,48.083333333333336
2015-03-08,58.5,32.0,38.0,52.0,42.833333333333336
2015-03-15,60.75,29.75,37.25,53.75,42.583333333333336
2015-03-22,59.0,37.25,32.0,57.5,42.75
2015-03-29,56.0,45.0,37.5,57.0,46.166666666666664
2015-04-05,62.75,45.75,33.5,61.25,47.333333333333336
2015-04-12,67.5,37.0,27.5,58.25,44.0
2015-04-19,57.5,30.25,28.0,51.5,38.583333333333336
2015-04-26,56.75,34.75,33.75,43.5,41.75
2015-05-03,43.25,40.25,33.5,39.0,39.0
2015-05-10,44.5,52.25,42.0,33.5,46.25
2015-05-17,53.0,59.0,37.5,33.5,49.833333333333336
2015-05-24,58.25,59.0,30.25,38.0,49.166666666666664
2015-05-31,57.0,64.0,32.0,34.0,51.0
2015-06-07,47.5,52.0,22.5,36.75,40.666666666666664
2015-06-14,42.25,59.5,29.25,41.5,43.666666666666664
2015-06-21,37.75,45.75,36.25,37.5,39.916666666666664
2015-06-28,44.25,32.0,31.75,36.5,36.0
2015-07-05,51.75,39.0,39.25,32.0,43.333333333333336
2015-07-12,61.5,35.25,33.5,33.25,43.416666666666664
2015-07-19,55.0,46.5,23.25,40.25,41.583333333333336
2015-07-26,65.25,59.0,26.25,47.75,50.166666666666664
2015-08-02,66.75,53.0,28.5,57.5,49.416666666666664
2015-08-09,51.5,49.25,25.0,56.75,41.916666666666664
2015-08-16,54.5,46.25,37.75,56.25,46.166666666666664
2015-08-23,40.25,49.75,37.0,54.0,42.333333333333336
2015-08-30,41.0,48.75,33.25,46.5,41.0
2015-09-06,56.25,52.5,36.0,40.25,48.25
2015-09-13,55.0,49.0,32.5,41.75,45.5
2015-09-20,63.75,34.25,32.0,42.5,43.333333333333336
2015-09-27,61.0,45.75,24.25,44.75,43.666666666666664
2015-10-04,46.75,44.5,21.25,40.5,37.5
2015-10-11,54.5,46.0,21.75,37.25,40.75
2015-10-18,61.5,57.5,22.5,35.25,47.166666666666664
2015-10-25,68.0,54.0,33.0,35.25,51.666666666666664
2015-11-01,73.5,59.0,42.0,47.25,58.166666666666664
2015-11-08,67.25,63.25,38.5,50.5,56.333333333333336
2015-11-15,52.75,50.25,44.75,54.5,49.25
2015-11-22,46.0,48.25,46.75,53.5,47.0
2015-11-29,42.5,34.75,40.5,45.5,39.25
2015-12-06,58.5,37.75,38.75,43.0,45.0
2015-12-13,57.75,39.0,40.25,35.75,45.666666666666664
2015-12-20,64.0,30.5,33.25,36.25,42.583333333333336
2015-12-27,58.0,32.5,43.25,45.0,44.583333333333336
2016-01-03,53.0,19.25,38.5,38.25,36.916666666666664
2016-01-10,49.25,29.75,33.25,39.25,37.416666666666664
2016-01-17,36.25,43.25,33.5,37.5,37.666666666666664
2016-01-24,43.25,40.75,27.5,31.5,37.166666666666664
2016-01-31,43.0,53.5,28.75,34.75,41.75
2016-02-07,57.5,43.5,31.75,42.75,44.25
2016-02-14,68.5,44.75,33.75,41.25,49.0
2016-02-21,74.0,42.25,33.5,44.0,49.916666666666664
2016-02-28,75.75,31.0,32.0,47.25,46.25
2016-03-06,70.25,36.25,33.0,44.0,46.5
2016-03-13,65.5,22.5,34.5,48.0,40.833333333333336
2016-03-20,58.75,23.5,39.5,51.75,40.583333333333336
2016-03-27,58.75,26.75,39.25,56.75,41.583333333333336
2016-04-03,67.75,30.75,40.75,54.5,46.416666666666664
2016-04-10,76.75,43.0,34.25,51.0,51.333333333333336
2016-04-17,86.5,51.25,34.75,38.75,57.5
2016-04-24,72.0,49.0,40.25,38.25,53.75
2016-05-01,62.0,51.0,35.5,35.0,49.5
2016-05-08,54.0,46.0,35.0,32.75,45.0
2016-05-15,57.25,41.5,29.0,35.0,42.583333333333336
2016-05-22,64.75,50.75,35.5,28.25,50.333333333333336
2016-05-29,61.5,46.25,30.25,29.5,46.0
2016-06-05,54.25,49.75,39.0,30.5,47.666666666666664
2016-06-12,52.5,56.0,40.5,30.75,49.666666666666664
2016-06-19,46.0,44.5,32.5,35.75,41.0
2016-06-26,58.0,44.75,37.75,36.0,46.833333333333336
2016-07-03,70.25,37.75,39.0,42.25,49.0
2016-07-10,53.0,40.75,34.0,49.25,42.583333333333336
2016-07-17,67.25,44.0,42.75,45.5,51.333333333333336
2016-07-24,52.0,41.25,34.25,44.0,42.5
2016-07-31,52.25,35.75,32.0,43.75,40.0
2016-08-07,64.75,33.75,38.75,35.25,45.75
2016-08-14,48.25,34.75,35.0,30.0,39.333333333333336
2016-08-21,48.75,39.5,47.75,28.0,45.333333333333336
2016-08-28,51.75,48.75,37.25,25.5,45.916666666666664
2016-09-04,41.5,48.25,36.0,32.25,41.916666666666664
2016-09-11,47.75,50.0,33.75,37.25,43.833333333333336
2016-09-18,65.25,48.25,23.75,44.0,45.75
2016-09-25,60.0,41.25,28.25,39.75,43.166666666666664
2016-10-02,59.25,39.0,27.0,41.5,41.75
2016-10-09,64.5,41.0,32.75,46.5,46.083333333333336
2016-10-16,58.5,41.25,34.5,49.25,44.75
2016-10-23,66.25,50.75,42.25,55.0,53.083333333333336
2016-10-30,67.5,56.5,39.5,51.25,54.5
2016-11-06,75.25,58.25,31.75,46.75,55.083333333333336
2016-11-13,79.75,56.0,33.75,43.25,56.5
2016-11-20,66.0,55.25,28.25,39.75,49.833333333333336
2016-11-27,66.5,46.25,26.5,43.5,46.416666666666664
2016-12-04,46.75,49.75,26.25,40.75,40.916666666666664
2016-12-11,33.75,56.25,22.25,38.5,37.416666666666664
2016-12-18,35.5,48.0,21.25,48.25,34.916666666666664
2016-12-25,51.5,49.5,28.0,44.0,43.0
2017-01-01,54.5,36.25,30.25,53.5,40.333333333333336
2017-01-08,53.5,29.5,32.25,50.25,38.416666666666664
2017-01-15,50.0,27.5,27.5,38.25,35.0
2017-01-22,45.75,24.0,26.75,40.75,32.166666666666664
2017-01-29,62.0,23.5,33.5,34.5,39.666666666666664
2017-02-05,64.5,30.0,30.0,42.25,41.5
2017-02-12,80.5,35.75,29.0,53.75,48.416666666666664
2017-02-19,79.5,36.0,24.5,53.25,46.666666666666664
2017-02-26,73.0,44.75,24.25,55.0,47.333333333333336
2017-03-05,78.75,32.75,31.0,53.0,47.5
2017-03-12,78.75,33.5,34.75,49.0,49.0
2017-03-19,78.5,43.75,36.25,49.0,52.833333333333336
2017-03-26,85.0,40.5,35.0,46.25,53.5
2017-04-02,83.75,41.75,36.75,41.75,54.083333333333336
2017-04-09,75.75,39.25,32.5,45.25,49.166666666666664
2017-04-16,68.25,35.0,31.0,43.0,44.75
2017-04-23,68.25,33.0,19.25,39.75,40.166666666666664
2017-04-30,64.25,36.75,19.5,40.25,40.166666666666664
2017-05-07,70.5,35.75,20.75,32.25,42.333333333333336
2017-05-14,67.75,29.75,27.0,33.5,41.5
2017-05-21,49.0,40.5,38.5,40.75,42.666666666666664
2017-05-28,61.75,35.25,32.75,46.5,43.25
2017-06-04,61.5,35.75,31.5,55.0,42.916666666666664
2017-06-11,65.25,35.5,25.5,57.5,42.083333333333336
2017-06-18,73.0,36.25,26.75,49.25,45.333333333333336
2017-06-25,61.75,40.0,35.0,38.75,45.583333333333336
2017-07-02,47.75,47.0,44.25,36.0,46.333333333333336
2017-07-09,41.75,48.5,46.0,30.75,45.416666666666664
2017-07-16,43.75,40.0,40.5,30.5,41.416666666666664
2017-07-23,38.5,44.0,28.5,31.5,37.0
2017-07-30,39.5,48.25,19.5,35.5,35.75
2017-08-06,49.0,49.75,24.25,42.25,41.0
2017-08-13,39.25,60.0,21.25,53.25,40.166666666666664
2017-08-20,50.75,63.25,26.0,59.0,46.666666666666664
2017-08-27,53.25,55.75,33.0,52.0,47.333333333333336
2017-09-03,42.5,58.0,34.25,50.25,44.916666666666664
2017-09-10,44.25,56.25,38.0,42.0,46.166666666666664
2017-09-17,48.5,48.25,34.75,46.0,43.833333333333336
2017-09-24,57.5,52.75,37.5,51.25,49.25
2017-10-01,62.75,57.25,27.0,48.25,49.0
2017-10-08,63.75,43.75,31.25,49.0,46.25
2017-10-15,56.25,51.25,41.5,44.75,49.666666666666664
2017-10-22,55.5,42.75,33.25,46.25,43.833333333333336
2017-10-29,63.0,44.5,41.0,45.75,49.5
2017-11-05,63.5,52.5,30.25,44.0,48.75
2017-11-12,64.0,49.0,21.25,40.0,44.75
2017-11-19,62.25,49.5,32.5,26.75,48.083333333333336
2017-11-26,59.0,48.0,33.0,28.5,46.666666666666664
2017-12-03,64.0,42.75,33.5,29.25,46.75
2017-12-10,55.75,40.0,36.0,27.0,43.916666666666664
2017-12-17,51.75,50.5,26.0,34.25,42.75
2017-12-24,53.25,37.0,29.5,38.0,39.916666666666664
2017-12-31,57.25,43.0,32.75,39.5,44.333333333333336
2018-01-07,68.25,52.75,37.5,40.0,52.833333333333336
2018-01-14,64.25,46.25,44.25,42.75,51.583333333333336
2018-01-21,59.0,48.75,38.25,44.0,48.666666666666664
2018-01-28,48.75,49.0,37.75,39.0,45.166666666666664
2018-02-04,49.0,50.5,39.0,40.25,46.166666666666664
2018-02-11,45.25,44.0,41.75,31.0,43.666666666666664
2018-02-18,42.25,56.0,46.75,31.0,48.333333333333336
2018-02-25,48.0,45.5,43.25,33.75,45.583333333333336
2018-03-04,42.25,38.5,43.75,44.0,41.5
2018-03-11,45.0,38.5,37.0,46.25,40.166666666666664
2018-03-18,54.25,29.5,26.0,43.0,36.583333333333336
2018-03-25,60.5,46.25,29.0,41.0,45.25
2018-04-01,66.0,53.5,24.25,40.75,47.916666666666664
2018-04-08,76.5,62.75,25.75,49.25,55.0
2018-04-15,64.5,66.75,29.5,49.5,53.583333333333336
2018-04-22,69.0,63.5,31.5,54.75,54.666666666666664
2018-04-29,70.75,48.5,27.0,44.25,48.75
2018-05-06,74.75,40.0,32.25,40.5,49.0
2018-05-13,94.25,36.0,32.0,42.5,54.083333333333336
2018-05-20,93.25,32.5,26.5,49.5,50.75
2018-05-27,86.25,36.25,31.5,55.5,51.333333333333336
2018-06-03,67.75,38.5,21.75,57.25,42.666666666666664
2018-06-10,51.0,44.5,29.25,55.25,41.583333333333336
2018-06-17,45.75,40.5,35.0,49.25,40.416666666666664
2018-06-24,55.0,46.0,33.25,43.75,44.75
2018-07-01,56.75,54.25,41.5,47.5,50.833333333333336
2018-07-08,70.75,51.5,32.0,37.75,51.416666666666664
2018-07-15,58.75,57.25,37.25,35.75,51.083333333333336
2018-07-22,53.75,60.5,40.25,44.75,51.5
2018-07-29,65.75,63.0,40.25,36.0,56.333333333333336
2018-08-05,62.0,54.25,39.5,36.75,51.916666666666664
2018-08-12,62.75,53.0,28.0,45.25,47.916666666666664
2018-08-19,65.75,41.25,25.0,46.5,44.0
2018-08-26,61.25,36.75,14.5,53.5,37.5
2018-09-02,60.75,46.0,16.0,57.75,40.916666666666664
2018-09-09,76.5,42.5,18.0,46.25,45.666666666666664
2018-09-16,67.0,52.25,16.5,35.5,45.25
2018-09-23,67.25,47.5,29.5,34.75,48.083333333333336
2018-09-30,65.0,39.5,34.25,39.0,46.25
2018-10-07,61.0,45.0,43.25,38.75,49.75
2018-10-14,69.25,43.75,39.5,49.0,50.833333333333336
2018-10-21,74.0,41.5,29.25,43.0,48.25
2018-10-28,74.0,52.5,23.25,38.75,49.916666666666664
2018-11-04,70.75,49.5,12.25,39.0,44.166666666666664
2018-11-11,75.0,49.5,20.5,28.75,48.333333333333336
2018-11-18,63.0,47.25,29.25,26.75,46.5
2018-11-25,63.75,49.25,28.25,24.25,47.083333333333336
2018-12-02,58.25,48.25,31.5,23.25,46.0
2018-12-09,43.75,45.5,23.5,35.0,37.583333333333336
2018-12-16,57.5,45.25,18.75,43.5,40.5
2018-12-23,59.75,44.75,30.5,46.75,45.0
2018-12-30,63.25,42.5,36.25,48.25,47.333333333333336
2019-01-06,72.75,49.25,46.5,47.0,56.166666666666664
